Description,Code,No_jobs,Median,change,Mean,change.1,10,20,25,30,40,60,70,75,80,90
"   Planning, process and production technicians",3116,47,15.31,,16.78,,11.03,12.44,13.04,13.39,14.19,16.77,18.68,19.49,20.67,x
"   Science, engineering and production technicians n.e.c.",3119,203,13.32,,14.43,,9.83,10.58,11.09,11.61,12.37,14.39,15.67,16.37,17.22,20.02
"  CAD, Drawing and Architectural Technicians",312,55,15.09,,15.68,,11.02,12.27,12.85,13.49,14.29,15.8,17.17,17.66,18.4,x
"   CAD, drawing and architectural technicians",3120,55,15.09,,15.68,,11.02,12.27,12.85,13.49,14.29,15.8,17.17,17.66,18.4,x
  Information Technology Technicians,313,304,14.84,,16.15,,10.04,11.27,11.84,12.43,13.46,16.05,17.49,18.46,19.8,23.36
   IT operations technicians,3131,87,14.55,,16.11,,9.92,11.04,11.64,12.2,13.37,15.75,17.21,18.62,19.7,x
   IT user support technicians,3132,184,14.77,,15.99,,10.09,11.36,11.96,12.55,13.46,16.1,17.39,18.37,19.75,22.79
   Database administrators and web content technicians,3133,32,15.59,,17.28,,10.32,11.09,11.67,12.89,14.66,17,17.95,18.27,x,x
 Health and social care associate professionals,32,685,12.37,,13.2,,9.13,9.89,10.22,10.66,11.49,13.28,14.24,14.74,15.43,17.28
  Health Associate Professionals,321,65,12.75,,14.24,,10.15,10.65,10.88,11.36,12.15,13.56,15.13,15.66,16.38,x
   Dispensing opticians,3211,8,13.82,,14.62,,x,x,12.29,12.34,13.36,14.17,x,x,x,x
   Pharmaceutical technicians,3212,25,12.72,,13.48,,10.01,10.4,10.63,10.95,11.97,13,14,15.25,x,x
   Medical and dental technicians,3213,25,12.74,,14.86,,10.3,10.81,11.14,11.4,12.04,13.48,14.86,15.9,x,x
   Complementary health associate professionals,3214,x,11.72,,12.88,,x,x,x,x,x,x,x,x,x,x
   Health associate professionals n.e.c.,3219,x,13.64,,14.9,,x,x,x,x,x,x,x,x,x,x
  Welfare and Housing Associate Professionals,322,410,13.45,,14.25,,9.96,10.96,11.31,11.83,12.65,14.2,15.03,15.56,16.16,18.35
   Youth and community workers,3221,118,13.24,,14.17,,9.8,10.57,11.12,11.31,12.06,14.05,14.88,15.55,16.2,17.86
   Child and early years officers,3222,58,13.43,,14,,9.71,10.62,10.96,11.45,12.58,14.19,15.19,15.64,16.15,x
   Housing officers,3223,51,15.14,,15.56,,10.96,12.55,13.08,13.52,14.39,15.9,16.9,17.16,17.98,x
   Counsellors,3224,24,15.01,,17.11,,11.66,12.61,12.84,13.37,13.89,15.66,17.03,17.44,x,x
   Welfare and housing associate professionals n.e.c.,3229,158,13.05,,13.57,,9.85,10.78,11.18,11.66,12.28,13.54,14.35,14.61,15.08,x
  Teaching and Childcare Associate Professionals,323,180,9.97,,10.61,,8.82,9,9.08,9.19,9.58,10.44,11.27,11.72,12.25,13.95
   Higher level teaching assistants,3231,47,11.97,,12.38,,9.94,10.35,10.68,10.99,11.63,12.66,13.41,13.62,14.24,x
   Early education and childcare practitioners,3232,133,9.5,,10.03,,8.6,8.91,8.98,9.01,9.19,9.77,10.21,10.5,10.95,x
  Veterinary nurses,324,30,11.82,,11.69,,8.91,9.59,10.07,10.46,11.3,12.31,12.88,13.2,13.4,x
   Veterinary nurses,3240,30,11.82,,11.69,,8.91,9.59,10.07,10.46,11.3,12.31,12.88,13.2,13.4,x
 Protective service occupations,33,357,19.71,,18.87,,12.83,14.44,14.9,15.77,17.84,20.24,21.07,21.59,22.27,23.99
  Protective Service Occupations,331,357,19.71,,18.87,,12.83,14.44,14.9,15.77,17.84,20.24,21.07,21.59,22.27,23.99
   Non-commissioned officers and other ranks,3311,:,,,,,,,,,,,,,,
