Description,Code,No_jobs,Median,change,Mean,change.1,10,20,25,30,40,60,70,75,80,90
   Librarians,2471,14,22459,,24879,,x,13670,14616,15400,18103,25585,x,x,x,x
   Archivists and curators,2472,x,26962,,26659,,x,x,x,x,26203,28971,x,x,x,x
  Quality and Regulatory Professionals,248,173,39000,,48691,,22177,27425,30000,31729,35321,42450,47736,50533,53979,x
   Quality control and planning engineers,2481,59,36379,,37824,,21969,26660,28961,30147,33130,39985,42792,45147,47856,x
   Quality assurance and regulatory professionals,2482,101,40651,,x,,21839,27442,30320,32242,36910,46000,52125,54818,60183,x
   Environmental health professionals,2483,13,37553,,39717,,x,30599,31891,32548,35751,38909,x,x,x,x
  Media Professionals,249,80,32448,,36205,,16230,x,24467,25888,29805,35713,41765,44314,x,x
   Newspaper and periodical editors,2491,13,35821,,43322,,x,24697,26594,30070,32898,41840,x,x,x,x
   Newspaper and periodical journalists and reporters,2492,x,28781,,31984,,x,x,x,x,24523,x,x,x,x,x
   Public relations professionals,2493,31,30047,,30404,,x,19619,22236,24052,27593,31913,35699,36741,x,x
   Advertising accounts managers and creative directors,2494,x,x,,40486,,x,x,x,x,x,x,x,x,x,x
Associate professional occupations,3,3591,29137,,33590,,13346,19503,21342,23000,26127,32532,36806,39716,42601,52397
" Science, engineering and technology associate professionals",31,701,28400,,30379,,17211,20913,22128,23598,26000,30954,33904,35785,38122,45598
"  Science, Engineering and Production Technicians",311,386,28050,,30161,,17134,20609,21760,23057,25480,30731,33796,35752,38002,46043
   Laboratory technicians,3111,46,21496,,24085,,13717,17103,17930,18262,19919,22948,24451,25512,x,x
   Electrical and electronics technicians ,3112,12,33493,,33010,,x,21434,23323,26799,28562,35410,37581,x,x,x
   Engineering technicians ,3113,62,35339,,38672,,22720,26356,28512,30025,32489,38446,42321,44330,46378,x
   Building and civil engineering technicians ,3114,x,29535,,32560,,x,x,x,26007,27866,x,x,x,x,x
   Quality assurance technicians ,3115,24,26148,,27801,,19813,21170,22995,23821,24955,28061,29994,30744,x,x
"   Planning, process and production technicians",3116,46,30741,,33521,,21762,25194,26056,27564,28933,33466,36278,37845,41094,x
"   Science, engineering and production technicians n.e.c.",3119,189,26678,,28075,,15763,19440,20979,22072,24587,29481,32075,33688,35720,42127
"  CAD, Drawing and Architectural Technicians",312,48,29768,,30938,,19400,23859,25421,26372,27920,30881,33747,34238,36294,x
"   CAD, drawing and architectural technicians",3120,48,29768,,30938,,19400,23859,25421,26372,27920,30881,33747,34238,36294,x
  Information Technology Technicians,313,268,28568,,30592,,17053,20893,22066,23685,26363,31428,34217,36286,38502,45186
   IT operations technicians,3131,75,28778,,30358,,16903,19959,x,22780,25857,31686,34882,37199,39427,x
   IT user support technicians,3132,167,28644,,30712,,18060,21402,22434,24205,26635,31501,34190,36133,38388,45111
   Database administrators and web content technicians,3133,26,27996,,30502,,x,18127,20955,22031,25543,29938,32481,x,x,x
 Health and social care associate professionals,32,602,20470,,20858,,8755,12436,13944,15501,18186,22954,25248,26519,27741,31375
